ID_Cliente,Data,Frete,Desconto,Quantidade,Compra_Prevista_ArvoreDecisao
15606573720.0,295,0.0,238.0,1,True
13947265474.0,621,0.0,0.0,1,True
15875571699.0,117,0.0,0.0,1,True
15687161609.0,393,0.0,35.7,1,True
15604415770.0,483,0.0,38.0,1,True
15680316689.0,399,0.0,0.0,1,True
15597260729.0,206,0.0,0.0,1,True
15625690140.0,185,0.0,119.0,1,True
15984401051.0,116,0.0,47.6,1,True
15734191811.0,238,0.0,50.0,1,True
14463188189.0,567,5.0,30.0,1,True
15910739284.0,180,0.0,119.0,1,True
14853431297.0,186,0.0,119.0,1,True
15893996031.0,195,0.0,0.0,1,True
14935490861.0,319,0.01,0.0,1,True
14853431297.0,560,0.0,65.4,1,True
15879966558.0,179,0.0,119.0,1,True
15812832829.0,271,0.0,0.0,1,True
13804281365.0,401,0.0,30.0,1,True
15282385495.0,246,0.0,69.0,1,True
15690729239.0,293,0.01,0.0,1,True
15625011422.0,145,0.0,92.2,1,True
15765337487.0,117,0.0,0.0,1,True
15904488961.0,186,0.0,119.0,1,True
12732289533.0,342,0.0,470.0,1,True
15893716214.0,151,0.0,95.2,1,True
15749215505.0,113,0.0,0.0,1,True
15602050319.0,127,0.0,0.0,1,True
15908429337.0,182,0.0,119.0,1,True
15924630297.0,165,0.0,0.0,1,True
15085532391.0,537,0.0,91.4,1,True
15845077460.0,201,0.0,0.0,1,True
15944644719.0,148,0.0,47.6,1,True
15911514663.0,179,0.0,119.0,1,True
15601466578.0,203,0.0,118.0,1,True
15784209624.0,179,0.0,119.0,1,True
15911588045.0,179,0.0,238.0,3,True
15975588455.0,124,0.0,0.0,1,True
15813935931.0,270,0.0,42.84,1,True
14088799935.0,490,0.0,71.4,1,True
15675878907.0,387,0.0,30.0,1,True
14398433985.0,180,0.0,119.0,1,True
15818984535.0,113,0.0,0.0,1,True
15983414584.0,117,0.0,0.0,1,True
15924575390.0,165,0.0,0.0,1,True
15882236924.0,138,0.0,475.0,1,True
15946071862.0,147,0.0,119.0,1,True
14324926401.0,288,0.0,119.0,1,True
15793404786.0,186,0.0,119.0,1,True
15772036294.0,308,0.01,0.0,1,True
15961671841.0,134,0.0,475.0,1,True
13022322113.0,201,0.0,38.0,1,True
15684866092.0,288,0.0,119.0,2,True
15606067097.0,411,0.0,31.0,1,True
15887190340.0,186,0.0,119.0,1,True
15909813993.0,181,47.4,0.0,1,True
15746038584.0,332,0.01,0.0,1,True
15719024435.0,357,0.0,0.0,1,True
15614470109.0,455,14.06,59.5,1,True
15603676578.0,484,0.0,99.01,1,True
15788478852.0,260,0.0,38.0,1,True
14088799935.0,229,0.0,38.0,1,True
15606299532.0,480,0.0,0.0,1,True
15738475991.0,288,0.01,119.0,1,True
15737337749.0,341,0.0,0.0,1,True
14901350942.0,455,0.0,119.0,1,True
15721221768.0,356,0.01,0.0,1,True
12429263068.0,560,5.0,0.0,1,True
14358427801.0,115,0.0,0.0,1,True
15690425901.0,200,0.0,169.0,1,True
14849351530.0,180,0.0,0.0,1,True
15771037813.0,308,0.01,11.9,1,True
15766958375.0,312,0.0,0.0,1,True
15597260729.0,488,0.0,71.0,1,True
15923886955.0,110,0.0,0.0,1,True
15729362786.0,348,0.0,59.5,1,True
15605402482.0,251,0.0,119.0,1,True
15752506746.0,199,0.0,0.0,1,True
12971103152.0,679,0.0,0.0,1,True
13726700091.0,634,0.0,0.0,1,True
15914194842.0,109,0.0,0.0,27,True
15661313510.0,419,0.0,15.0,1,True
14460936582.0,490,0.0,0.0,1,True
15541745516.0,484,0.0,0.0,1,True
15851117909.0,235,9.9,0.0,1,True
12268398905.0,341,0.0,0.0,1,True
15787134372.0,250,0.0,0.0,1,True
15988173759.0,111,0.0,0.0,1,True
15758734096.0,266,0.0,0.0,1,True
15357900720.0,509,5.0,23.8,1,True
15786979892.0,292,0.0,119.0,1,True
15785348861.0,183,0.0,119.0,1,True
12433577966.0,713,4.9,0.0,1,True
15889817244.0,199,0.0,47.6,1,True
15942223020.0,150,0.0,78.2,1,True
14737160336.0,405,0.0,30.0,1,True
14088799935.0,260,0.0,0.0,1,True
15858855363.0,144,0.0,47.6,1,True
12868187591.0,186,0.0,119.0,1,True
15979913577.0,120,0.0,0.0,1,True
15784190670.0,186,0.0,119.0,1,True
15788219214.0,291,0.0,119.0,1,True
15879655721.0,209,0.0,0.0,1,True
15543632959.0,492,73.99,57.12,1,True
14045196012.0,615,0.0,0.0,1,True
13623985191.0,315,30.65,0.0,1,True
15802628346.0,280,9.9,29.75,1,True
15784190670.0,295,0.0,119.0,1,True
15875682557.0,124,0.0,118.0,1,True
15791020170.0,288,0.0,119.0,1,True
15747417342.0,330,0.0,0.0,1,True
12868160682.0,391,0.0,0.0,1,True
15785107414.0,294,0.0,119.0,1,True
15904487801.0,151,0.0,95.2,1,True
15748819858.0,329,27.16,11.9,1,True
15752583464.0,186,0.0,119.0,1,True
12429448010.0,290,0.0,238.0,1,True
15982472862.0,118,0.0,0.0,1,True
15622451497.0,459,0.0,105.0,1,True
15062101792.0,539,0.0,183.12,1,True
15662353010.0,231,0.0,0.0,1,True
15686953988.0,367,0.0,0.0,1,True
15626014261.0,293,0.0,119.0,1,True
15814022838.0,270,9.9,0.0,1,True
15749215505.0,315,0.0,126.4,1,True
12793619292.0,690,4.9,0.0,1,True
15030925380.0,196,0.0,0.0,1,True
15975314515.0,124,0.0,0.0,1,True
12429148020.0,539,0.0,140.0,1,True
15145762782.0,201,0.0,38.0,1,True
15601082081.0,180,0.0,119.0,1,True
15771937705.0,308,0.0,119.0,1,True
15625006098.0,259,0.0,119.0,1,True
15893716214.0,113,0.0,0.0,1,True
15909528654.0,181,0.0,119.0,1,True
15941449859.0,151,0.0,30.0,1,True
15771937705.0,213,0.0,67.0,1,True
14921396186.0,152,0.0,0.0,1,True
15637012970.0,442,5.0,0.0,1,True
15942354154.0,150,9.9,47.6,1,True
15807752372.0,271,0.0,0.0,3,True
